34;10;42;92;92;30;89;88;71;93;58;60;78;85;52;88;51;83;83;32;62;90;58;64;21;15;49;52;23;55;71;90;58;38;26;42;90;27;85;5;66;13;87;31;17;67;51;90;26;69;12;39;92;96;62;43;51;78;70;76;80;36;65;16;22;67;2;
40;59;9;98;24;98;77;66;48;3;27;46;53;63;59;26;54;43;31;98;61;75;82;91;12;56;8;25;30;48;70;8;49;65;10;30;16;71;87;40;14;30;13;40;23;31;16;13;21;10;11;73;90;69;40;65;77;18;86;68;90;52;36;0;32;19;97;
88;52;28;9;82;55;91;83;31;62;41;67;80;39;95;3;19;36;97;17;80;24;45;53;97;85;19;50;62;93;13;8;4;33;28;60;92;0;28;18;99;85;8;2;35;51;5;28;94;48;16;63;34;1;17;63;6;75;12;97;35;40;21;37;49;33;63;
46;11;35;11;19;8;79;17;94;16;43;17;46;79;91;55;13;77;49;73;2;16;64;53;16;87;31;82;59;64;70;53;2;88;58;17;59;36;96;55;55;84;22;47;63;58;66;17;44;84;7;60;99;60;60;30;47;81;94;31;77;96;58;30;45;89;15;
58;21;74;96;76;80;94;18;18;93;17;89;58;21;13;38;74;56;9;54;41;27;28;70;78;42;64;77;58;25;92;1;74;42;8;95;69;88;30;79;5;41;42;36;29;91;36;10;63;58;84;74;35;35;73;30;93;4;18;34;16;16;59;92;1;15;15;
15;13;17;68;85;25;30;48;0;85;91;40;86;5;54;13;0;41;18;65;39;69;77;2;65;70;95;63;88;82;49;35;13;76;20;96;46;89;98;48;5;86;73;44;2;64;31;29;61;3;59;50;83;50;76;46;35;15;2;15;29;66;60;17;35;56;26;
10;84;57;67;10;43;69;59;52;95;32;0;1;38;66;1;85;22;99;51;63;0;74;60;31;86;82;18;39;26;55;9;46;37;20;44;3;35;49;7;13;90;23;50;3;14;1;76;62;64;74;95;36;4;62;10;10;97;35;23;60;51;20;26;40;23;54;
63;18;22;98;49;73;91;38;72;76;23;57;16;85;6;55;74;51;60;73;41;75;10;33;6;99;25;46;62;70;97;10;79;60;37;58;40;66;24;22;44;65;90;33;87;39;19;37;54;95;46;74;79;50;12;88;7;88;91;50;47;45;76;1;79;12;77;
55;48;47;15;7;27;38;28;76;84;76;46;66;80;87;91;66;24;23;30;29;48;48;50;51;74;74;74;99;89;88;54;74;62;63;89;6;80;38;46;41;21;36;3;31;42;25;69;59;53;9;77;55;82;47;7;0;96;63;32;52;63;29;86;96;21;71;
4;16;98;84;86;85;76;88;8;12;44;19;8;49;4;14;45;80;10;98;92;14;56;89;10;16;5;94;77;91;49;7;9;70;21;53;61;68;22;91;79;93;39;95;55;76;54;83;48;49;84;6;85;22;79;89;59;9;74;70;80;82;10;16;62;37;10;
37;28;50;53;77;58;18;19;99;74;61;33;33;61;21;45;28;7;43;21;86;91;31;94;51;93;51;11;97;82;22;32;18;66;16;55;97;96;6;48;67;3;79;14;98;76;41;9;58;36;82;9;19;15;23;46;96;56;1;83;6;7;22;17;52;28;15;
66;44;66;48;32;0;95;54;83;12;16;95;75;51;42;53;60;99;13;13;2;42;70;58;41;94;23;41;59;81;62;62;69;60;75;64;91;87;50;8;24;61;40;34;80;60;26;31;64;54;61;17;39;14;13;23;73;8;7;37;77;53;94;2;49;54;25;
14;76;77;61;73;49;4;89;40;2;36;77;80;68;91;77;5;20;44;23;55;47;51;90;83;80;12;31;70;66;37;84;26;34;11;54;86;92;88;67;34;24;72;20;37;30;26;68;85;75;88;82;5;31;70;67;25;86;78;92;36;73;18;74;65;52;51;
46;57;37;91;13;31;76;88;30;75;30;53;52;53;43;45;95;77;55;79;94;64;43;29;99;14;95;31;61;5;97;55;85;78;80;11;48;83;75;50;28;42;39;92;94;33;25;38;92;27;23;96;10;72;56;81;13;7;92;98;36;45;26;25;77;75;68;
74;72;32;96;11;2;4;51;52;24;51;34;65;89;56;38;34;82;1;45;12;21;98;97;40;91;76;14;82;16;14;14;19;65;50;65;60;30;11;94;5;21;4;57;61;72;26;9;79;7;92;42;75;30;55;52;74;34;56;19;25;90;68;35;10;37;15;
0;38;91;77;3;70;7;40;90;16;41;35;67;65;66;34;75;23;71;38;88;10;98;91;25;74;91;68;14;53;68;47;24;57;26;71;88;29;89;72;68;90;64;35;32;99;88;54;58;55;93;12;38;98;26;89;39;99;52;29;78;38;25;37;48;93;11;
10;39;94;46;45;34;99;69;98;45;62;58;26;86;37;9;58;60;56;9;26;30;36;31;88;77;59;93;30;64;27;87;39;87;77;15;63;9;48;77;39;28;27;44;77;41;25;42;41;28;66;77;91;84;84;80;2;63;57;67;74;5;39;34;17;74;19;
